AAR2
AATF
ABCF3
ABHD2
ABT1
ACAP2
ACOT13
ACP1
ACTR2
ADAM10
ADIPOR1
ADIPOR2
ADNP
ADPGK
ADRM1
AHSA1
ALG13
ALG2
ALKBH5
ANAPC1
ANGEL2
ANKFY1
ANKRD17
ANKRD40
AP1G1
AP1M2
AP3S1
AP5M1
APEX1
API5
APOPT1
AQR
ARCN1
ARF1
ARF6
ARFGAP2
ARFGEF2
ARGLU1
ARHGAP21
ARHGEF7
ARID1A
ARID2
ARIH2
ARL16
ARMC8
ARPP19
ASCC2
ASH1L
ASNSD1
ATAD1
ATAD5
ATMIN
ATOX1
ATP2C1
ATP6V1C1
ATP6V1D
ATP6V1E1
ATXN3
AUNIP
AURKA
AURKB
AZIN1
BANF1
BCAP31
BCCIP
BCLAF1
BDP1
BECN1
BIRC5
BIRC6
BLOC1S6
BMS1
BRD2
BRD7
BUB1
C12ORF45
C14ORF119
C14ORF166
C14ORF2
C17ORF85
C19ORF10
C1ORF43
C4ORF46
C5ORF22
C6ORF106
C9ORF114
C9ORF78
CAAP1
CACUL1
CALU
CAMLG
CBL
CBX1
CBX3
CCAR2
CCDC43
CCDC6
CCDC93
CCNB2
CCNF
CCNL1
CCNL2
CCT2
CD164
CD2BP2
CDC27
CDC37
CDC42
CDC5L
CDCA2
CDCA4
CDCA5
CDK5RAP1
CEBPZ
CELF1
CENPN
CEP350
CEP57
CFDP1
CGGBP1
CHCHD2
CHCHD7
CHD1
CHD6
CHD7
CHD8
CHERP
CHMP1A
CIAPIN1
CIRH1A
CKAP5
CKS1B
CLASP1
CLINT1
CLPB
CMTM6
CNIH1
CNOT1
CNOT10
CNOT2
CNOT7
COA1
COA5
COA6
COIL
COL4A3BP
COPB1
COPB2
COPE
COPS2
COPS3
COPS5
COPS6
COX10
COX16
COX17
COX19
COX5B
COX6A1
COX6C
COX7A2
COX7A2L
COX7B
CPNE1
CPSF2
CPSF6
CPSF7
CREB1
CRK
CS
CSDE1
CSNK1A1
CSNK2A1
CSNK2B
CSTF3
CTNNA1
CTR9
CUL1
CWC22
CWC27
CWF19L1
CYB5B
CYCS
CYTH2
DAP3
DDX18
DDX21
DDX27
DDX41
DDX42
DDX47
DDX49
DDX52
DDX54
DDX55
DDX56
DDX6
DEK
DENR
DGUOK
DHX15
DHX16
DHX29
DHX33
DHX38
DHX9
DIAPH1
DIAPH3
DIEXF
DKC1
DLD
DNAJA2
DNAJB12
DNAJC10
DNAJC7
DNAJC8
DNAJC9
DNTTIP2
DPH2
DPM1
DRG1
DSCC1
DUSP11
DYNC1I2
EAPP
EBAG9
EBNA1BP2
EDC3
EEF1A1
EEF1B2
EEF2
EFCAB14
EIF1AX
EIF2A
EIF2B1
EIF2S1
EIF2S2
EIF2S3
EIF3A
EIF3F
EIF3G
EIF3H
EIF3I
EIF3IP1
EIF3J
EIF3K
EIF3L
EIF3M
EIF4B
EIF4E
EIF4E2
EIF4G2
EIF5A
EIF5AL1
EIF5B
EIF6
ELAC2
ELF2
ELP3
ELP5
EMC4
EMC7
EMG1
EML4
ENSA
EP300
EP400
EPS15
EPT1
ERGIC2
ERLEC1
ERLIN1
ERP44
ESRP1
ESYT2
ETF1
EWSR1
EXOC5
EXOSC10
EXOSC7
EZH2
FAF2
FAM135A
FAM168B
FAM200B
FAM204A
FAM210A
FAM222B
FAM60A
FAM96B
FANCD2
FANCI
FASTKD2
FAU
FBL
FBXO28
FBXW2
FCF1
FGD5.AS1
FGFR1OP
FIBP
FIS1
FKBP2
FKBP4
FRG1B
FTSJ2
FTSJ3
FUBP1
FUBP3
FXR1
G2E3
GAPVD1
GAS5
GATC
GBF1
GCC2
GDI2
GFM1
GID8
GIGYF2
GINS4
GLG1
GMNN
GNL1
GNL2
GNL3
GNPNAT1
GOLGA5
GON4L
GORASP2
GPATCH8
GPBP1L1
GPN1
GPS2
GRPEL1
GRWD1
GTF2F1
GTF3C2
GTPBP10
GTSE1
GUF1
HARS
HAUS6
HAUS8
HCCS
HDAC1
HDHD3
HELZ
HIGD2A
HIPK1
HMGB2
HNRNPA1
HNRNPA2B1
HNRNPC
HNRNPDL
HNRNPF
HNRNPH1
HNRNPK
HNRNPM
HNRNPU
HNRNPUL1
HP1BP3
HSBP1
HSPA14
HSPA8
ICE2
IGBP1
IK
ILF2
ILF3
ILKAP
IMMT
IMP4
INIP
INTS4
ISCA1
ISCU
ISG20L2
IST1
ITCH
ITGAE
ITGB3BP
JMJD6
KIAA0020
KIAA0100
KIAA1429
KIAA1731
KIF11
KIF5B
KIN
KLHDC3
KNOP1
KPNA1
KRI1
KRIT1
LAMTOR5
LAP3
LBR
LEO1
LIN7C
LLPH
LMAN1
LMAN2
LOC102288414
LOC401010
LOC727896
LOC728554
LRRC59
LRRC75A.AS1
LRRFIP2
LSG1
LSM10
LTN1
LTV1
LUC7L
LUC7L3
LUZP6.MTPN
LYAR
MAD2L1
